# SENSOR_TYPE: 0 - lidar; 1 - radar
# NIS: normalized innovation squared floating point value

SENSOR_TYPE NIS
1 74.7453
0 0.221135
1 1.8248
0 0.167628
1 7.74969
0 0.25472
1 6.38656
0 0.00938861
1 0.457026
0 1.21698
1 1.24931
0 2.04837
1 4.1875
0 0.39042
1 2.20581
0 13.2608
1 2.25622
0 2.28267
1 1.66477
0 1.48265
1 3.94211
0 4.14726
1 0.919135
0 0.370542
1 3.7815
0 3.68913
1 3.55371
0 0.584169
1 2.78287
0 0.69296
1 6.61468
0 1.01157
1 6.44118
0 0.850369
1 4.3786
0 2.91177
1 4.43208
0 1.23464
1 4.15704
0 1.80456
1 1.79767
0 1.85596
1 1.14466
0 0.549788
1 1.14137
0 0.976701
1 0.99243
0 3.3594
1 3.57761
0 2.4258
1 10.5637
0 0.750985
1 0.20511
0 0.366248
1 1.72433
0 2.4637
1 3.86172
0 1.00264
1 2.35025
0 0.620546
1 1.00251
0 0.289909
1 1.69424
0 0.359143
1 0.718479
0 0.413729
1 4.55632
0 0.369643
1 1.84193
0 0.301496
1 3.48507
0 2.64294
1 1.21705
0 0.870241
1 0.538912
0 0.244732
1 0.179406
0 3.34384
1 0.559407
0 4.94828
1 4.5301
0 0.516302
1 0.398907
0 1.7434
1 2.4897
0 5.67556
1 0.798393
0 4.98091
1 1.02457
0 2.74425
1 2.83398
0 0.49399
1 6.73393
0 0.320183
1 2.83592
0 1.52786
1 4.75213
0 0.0554783
1 10.1801
0 4.87602
1 4.03695
0 0.849986
1 2.98716
0 1.91546
1 2.13609
0 1.21104
1 1.36775
0 1.21439
1 0.835484
0 0.263156
1 1.4013
0 1.12486
1 3.46996
0 2.2386
1 7.55106
0 4.03898
1 1.50722
0 0.0416985
1 1.99619
0 1.03848
1 0.322277
0 0.0415296
1 6.12664
0 1.51472
1 6.32985
0 3.7283
1 2.15711
0 0.904827
1 2.2116
0 1.2986
1 6.61664
0 0.336317
1 1.89396
0 0.481702
1 2.93114
0 2.77842
1 3.18762
0 0.762883
1 10.1405
0 0.753085
1 3.17105
0 1.36287
1 5.65839
0 1.75435
1 2.234
0 0.636266
1 1.37099
0 0.821971
1 0.362201
0 2.0365
1 2.13953
0 0.199149
1 1.78851
0 1.67901
1 2.65177
0 0.243512
1 0.881021
0 1.7641
1 1.05039
0 0.594531
1 4.11291
0 0.502035
1 5.7725
0 3.51678
1 1.00128
0 1.62688
1 2.08556
0 1.26509
1 1.54438
0 1.84623
1 4.60345
0 2.71048
1 0.157414
0 0.12823
1 3.56336
0 3.73264
1 0.222963
0 0.987095
1 0.38402
0 0.528903
1 2.69989
0 1.18231
1 2.26577
0 0.90004
1 1.68699
0 1.86674
1 4.47394
0 0.607463
1 1.48444
0 1.04938
1 1.40264
0 2.25068
1 6.92836
0 2.6576
1 3.40619
0 1.18697
1 2.46765
0 6.04173
1 3.19405
0 0.135787
1 2.07459
0 0.506744
1 5.04586
0 2.35276
1 1.01897
0 1.70891
1 2.22886
0 1.01535
1 0.924042
0 2.9212
1 2.09452
0 0.407893
1 1.94982
0 1.14735
1 3.62554
0 3.10141
1 1.12676
